MARITAL_STATUS,STATE,CREDIT_BALANCE,TIME_AS_CUSTOMER,MORTGAGE_AMOUNT,BANK_FUNDS,N_OF_DEPENDENTS,HAS_CHILDREN,SALARY,CUST_ID,SEX,PROFESSION,CREDIT_CARD_LIMITS,REGION,HOUSE_OWNERSHIP,N_TRANS_WEB_BANK,BUY_INSURANCE,MONTHLY_CHECKS_WRITTEN,N_TRANS_KIOSK,AGE,MONEY_MONTLY_OVERDRAWN,LTV,T_AMOUNT_AUTOM_PAYMENTS,N_TRANS_TELLER,CHECKING_AMOUNT,N_TRANS_ATM,LTV_BIN,LAST,N_MORTGAGES,CAR_OWNERSHIP,FIRST
SINGLE,CA,0,3,0,0,3,NO,65871,CU15154,Male,Nurse,1000,West,0,0,No,0,1,24,53.06,14367.75,0,0,25,0,MEDIUM,GAYLE,0,NO,DURANT
SINGLE,NY,0,4,0,290,4,NO,68747,CU15155,Male,Programmer/Developer,700,NorthEast,0,0,Yes,1,1,35,53.84,14686.75,287,2,25,4,MEDIUM,QUINTON,0,YES,MASSEY
MARRIED,MI,0,3,1000,550,3,NO,68684,CU15157,Male,Programmer/Developer,1000,Midwest,1,1000,Yes,14,1,26,53.48,25271,132,2,25,4,HIGH,ANIBAL,1,YES,JIMENEZ
MARRIED,UT,0,5,1200,1000,5,NO,59354,CU15286,Female,Fireman,2500,Southwest,1,1200,No,4,5,24,53.08,19738.5,628,3,619,1,MEDIUM,JUNITA,1,YES,ROBERTSON
MARRIED,UT,0,4,1800,0,3,NO,84801,CU15287,Female,PROF-26,2500,Southwest,1,1800,No,0,5,47,53.06,31900.25,0,0,25,0,VERY HIGH,CHASITY,1,YES,ELLIS
MARRIED,UT,0,1,1400,0,1,NO,73987,CU15289,Male,Professor,2500,Southwest,1,1400,No,0,5,46,53.06,31596.75,0,0,25,0,VERY HIGH,FRANKLIN,1,YES,KNOX
SINGLE,UT,0,3,578,0,3,NO,51452,CU15290,Male,Sales Representative,2500,Southwest,1,578,No,0,5,33,53.06,21663,0,0,25,0,MEDIUM,LINCOLN,1,YES,MATTSON
SINGLE,UT,0,3,0,0,3,NO,63181,CU15291,Male,Construction Laborer,2500,Southwest,0,0,No,1,5,49,53.07,16195.25,0,0,25,1,MEDIUM,STEPHEN,0,NO,CARROLL
SINGLE,UT,0,5,117,0,5,NO,66654,CU15292,Female,PROF-3,2500,Southwest,1,117,No,0,5,21,53.06,21263.5,0,0,25,0,MEDIUM,CEOLA,1,YES,HARRISON
SINGLE,UT,0,3,0,250,3,NO,61716,CU15294,Male,Programmer/Developer,1500,Southwest,0,0,No,3,5,26,53.04,13529,0,2,25,2,LOW,LLOYD,0,NO,HOLLEY
MARRIED,UT,0,1,786,0,1,NO,60417,CU15295,Male,PROF-52,2500,Southwest,1,786,No,0,5,45,53.06,28104.25,0,0,25,0,HIGH,LAVERNE,1,YES,FLAHERTY
MARRIED,UT,0,3,1000,0,3,NO,67781,CU15296,Male,Programmer/Developer,1500,Southwest,1,1000,No,2,5,25,53.05,24945.25,0,0,25,2,HIGH,ALEC,1,YES,CARDONA
DIVORCED,CA,0,1,3000,16950,1,YES,64557,CU3244,Female,PROF-59,1000,West,1,2800,Yes,4,3,48,54.56,24439.25,2143,5,25,5,HIGH,TA,1,YES,AMBROSE
MARRIED,NY,0,3,1200,1000,3,YES,54636,CU3272,Male,PROF-6,1500,NorthEast,1,1200,No,15,1,22,53.18,16359,3707,3,3079,3,MEDIUM,DOMENIC,1,YES,MARRERO
MARRIED,OR,0,1,900,0,1,YES,70239,CU3309,Male,PROF-30,900,West,1,900,No,8,1,69,53.09,27959.75,635,1,120,1,HIGH,CLAUD,1,YES,LEAVITT
MARRIED,MI,109,1,1200,0,1,NO,65853,CU3336,Male,Plumber,500,Midwest,1,1200,No,13,1,45,53.22,29463.25,2159,1,1223,3,HIGH,BRYON,1,YES,SORENSON
MARRIED,NY,19204,2,1200,1200,2,YES,65968,CU3377,Female,School Teacher,700,NorthEast,1,1200,No,2,2,49,54.02,23392,20020,3,304,5,HIGH,EVE,1,YES,RANDOLPH
DIVORCED,NY,1375,4,3000,5700,6,YES,58686,CU3407,Female,PROF-21,1700,NorthEast,1,1500,No,4,2,53,54.19,14971.5,13620,4,11687,5,MEDIUM,MICHELE,1,YES,PETERS
MARRIED,FL,0,1,1400,0,1,NO,60461,CU3429,Male,School Teacher,900,South,1,1400,No,0,2,30,53.07,26615.25,503,0,25,1,HIGH,DERRICK,1,YES,BERNAL
MARRIED,MI,35208,1,8000,26500,1,YES,68468,CU3456,Female,Clerical,900,Midwest,1,5000,No,4,8,47,54.51,25317,36647,3,25,5,HIGH,MERYL,1,YES,SLADE
SINGLE,MI,25209,2,0,6725,0,YES,66144,CU3527,Male,Not specified,500,Midwest,0,1056,Yes,1,3,40,54.18,16536,48524,1,20614,5,MEDIUM,SID,0,YES,LINK
SINGLE,CA,0,2,0,0,0,NO,64150,CU3570,Male,Administrative Assistant,500,West,0,0,No,0,3,54,56.3,22437.5,504,1,25,6,HIGH,GEOFFREY,0,YES,PETTY
MARRIED,IL,0,3,1061,850,3,YES,62754,CU10956,Male,Cashier,1000,Midwest,1,1061,Yes,12,2,58,55.12,21988.5,582,3,25,5,MEDIUM,RANDELL,1,YES,RYAN
SINGLE,CA,0,3,0,500,3,NO,65408,CU10958,Male,Programmer/Developer,1000,West,0,0,Yes,4,1,20,53.5,13852,160,2,25,4,LOW,LEIF,0,YES,GRAYSON
DIVORCED,CA,0,1,2500,0,1,NO,71584,CU10959,Male,Fireman,1500,West,1,2500,No,0,1,40,53.06,30396,0,1,25,0,VERY HIGH,GREG,1,YES,LILES
SINGLE,MS,0,3,348,500,3,NO,61100,CU10960,Male,Programmer/Developer,1000,South,1,348,No,11,1,22,53.19,22975,0,2,51,3,HIGH,BENTON,1,YES,WHITEHEAD
SINGLE,NY,0,3,250,500,3,NO,61249,CU10962,Male,Programmer/Developer,1000,NorthEast,1,250,Yes,16,1,19,53.04,22712.25,0,2,25,2,HIGH,MARGARITO,1,YES,POWELL
SINGLE,NY,0,3,0,251,3,NO,69116,CU10964,Male,Programmer/Developer,1000,NorthEast,0,0,No,6,1,22,53.63,14979,0,2,25,4,MEDIUM,JONATHON,0,NO,MCGRATH
MARRIED,NY,0,3,1200,850,3,YES,67365,CU10965,Male,PROF-3,1500,NorthEast,1,1200,No,4,1,26,53.58,19941.25,330,3,195,4,MEDIUM,ALTON,1,YES,RASMUSSEN
MARRIED,NY,0,3,1650,0,3,NO,67330,CU10966,Male,Truck Driver,1500,NorthEast,1,1650,No,0,1,24,53.06,24732.5,0,1,25,0,HIGH,CLIFTON,1,YES,BRAND
SINGLE,FL,0,3,0,500,3,NO,61796,CU10967,Male,Programmer/Developer,1000,South,0,0,Yes,14,8,23,53.95,13249,254,2,93,4,LOW,OSCAR,0,YES,HITCHCOCK
SINGLE,MI,0,3,0,0,3,NO,66391,CU10968,Male,Programmer/Developer,1000,Midwest,0,0,No,0,1,22,53.25,14297.75,0,1,25,3,MEDIUM,CLARENCE,0,NO,VILLANUEVA
SINGLE,NY,0,1,0,4550,1,YES,64851,CU10969,Male,Administrator,1000,NorthEast,0,450,Yes,4,1,30,54.78,12712.75,903,1,25,5,LOW,LEON,0,YES,DOBBINS
